Code,Description
H00040,"Radix Ampelopsis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00042,"In botanical studies, Herba Serissae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00043,"The herb Imperata cylindrica var. major is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00044,"Hydrastis canadensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00046,"The herb Herha Ajugae Ciliatae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00047,"Prunus mume is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00048,"Aquilaria sinensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00050,"The herb Thesium chinense is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00051,"The herb Radix Paeoniae Alba is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00052,"In botanical studies, Radix Pulsatillae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00057,"In botanical studies, Radix Angelicae Dahuricae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00058,"Semen Biotae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00059,"Herba Lobeliae Chinensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00060,"The herb Radix Isatidis seu Baphicacanthi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00061,"The herb Thalictrum petaloideum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00062,"In botanical studies, Aloe vera var. chinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00063,"Rhizoma Pinelliae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00064,"The herb Herba Scutellariae barbatae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00065,"In botanical studies, Ephedra lepidosperma has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00066,"Rhizoma Menispermi is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00067,"In botanical studies, Cedrus atlantica has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00069,"The herb Aloe ballyi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00070,"In botanical studies, Radix Glehniae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00071,"In botanical studies, Fructus Schiandrae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00073,"The herb Chrysanthemum boreale is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00074,"In botanical studies, Piperis Longi Fructus has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00075,"The herb Myroxylon pereirae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00076,"Ricinus communis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00077,"Semen Ricini is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00078,"Hypericum wightianum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00079,"The herb Flos Dolichoris is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00081,"Mangifera persiciformis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00082,"In botanical studies, Herba Polygoni Avicularis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00083,"Angelica keiskei is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00084,"semen arecae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00085,"Borneolum syntheticum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00086,"The herb Scutellaria scordifolia is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00088,"herba Menthae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00089,"Peumus boldus is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00090,"In botanical studies, Evodia rutaecarpa var. bodinieri has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00091,"Psoralea corylifolia is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00092,"The herb Dionaea muscipula is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00094,"Fructus Xanthii sibirici is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00095,"In botanical studies, Rhizoma Atractylodis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00097,"In botanical studies, Fructus tsaoko has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00098,"In botanical studies, Cacumen et Folium Biotae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00099,"Camellia sinensis [Syn. Thea sinensis] is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00100,"Ligusticum sinense cv. chaxiong is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00101,"Camellia sinensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00102,"In botanical studies, Camellia sinensis [Syn. Thea sinensis] has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00103,"In botanical studies, Radix Bupleuri has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00104,"Trollius macropetalus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00105,"The herb Kadsura peltigera [Syn. Kadsura longipedunculata ] is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00106,"Corydalis longicalcarata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00107,"Saussurea superba [Syn. Saussurea hieracioides ] is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00108,"Radix Dichroae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00109,"The herb Eurycoma longifolia is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00110,"The herb Massa fermentata medicinalis Preparata is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00111,"In botanical studies, Angelica gigas has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00112,"Carlina acaulis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00113,"In botanical studies, Fructus Aurantii Preparata has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00114,"Plantago asiatica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00115,"Herba Plantaginis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00116,"Semen Plantaginis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00117,"The herb Dodonaea viscosa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00118,"In botanical studies, Herba Artemisiae Scopariae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00119,"In botanical studies, Pericarpium Citri Reticulatae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00120,"In botanical studies, Lignum Aquilariae Resitum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00121,"The herb Eupatorium lindleyanum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00122,"Tamarix chinensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00123,"Corydalis remota [Syn. Corydalis bulbosa var. typica ] is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00124,"The herb Gymnema sylvestre is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00125,"Syzygium buxifolium is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00126,"Radix Paeoniae Rubra is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00127,"Semen Phaseoli is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00129,"In botanical studies, Lysimachia paridiformis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00130,"In botanical studies, Fructus Leonuri has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00131,"Ruta graveolens is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00132,"In botanical studies, Dysosma veitchii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00133,"In botanical studies, Bulbus Fritillariae Cirrhosae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00134,"In botanical studies, Rhizoma Coptidis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00135,"In botanical studies, Scutellaria hypericifolia has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00136,"Fructus Meliae Toosendan is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00137,"Caulis Clematidis Armandii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00138,"The herb Vladimiria souliei [Syn. Jurinea souliei] is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00139,"Radix Cyathulae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00140,"Radix Cudraniae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00142,"Radix chuanxiong is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00143,"The herb Herba Sedi sarmentosi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00144,"Cortex Tooe Sinensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00145,"Juniperus oxycedrus is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00146,"Glycyrrhiza pallidiflora is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00147,"Pinus aristata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00149,"The herb Rosa roxburghii is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00150,"Eleutherococcus senticosus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00151,"Eleutherococcus senticosus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00153,"Hippophae rhamnoides is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00154,"Glycyrrhiza aspera is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00155,"Celastrus strigillosus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00156,"Ficus simplicissima is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00158,"Senecio oryzetorum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00159,"The herb Plantago major is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00160,"Tanacetum parthenium is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00161,"Euphorbia hirta is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00162,"Coffea liberica is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00163,"Rhodiola crenulata [Syn. Rhodiola euryphylla] is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00165,"Lagerstroemia speciosa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00166,"In botanical studies, Semen Sojae Germinatus has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00167,"Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00168,"Radix euphorbiae pekinensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00169,"The herb Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00170,"The herb Euphorbia pekinensis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00172,"Lysimachia christinae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00173,"Cuscuta japonica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00175,"Selaginella doederleinii is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00176,"Ampelopsis megalophylla is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00177,"Rabdosia macrophylla is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00180,"In botanical studies, Semen Sojae Praeparata has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00181,"Reseda luteola is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00182,"Salvia miltiorrhiza is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00183,"Lysimachia candida is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00184,"Vitex rotundifolia [Syn. Vitex trifollia var. simplicifolia ] is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00185,"Ephedra monosperma is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00186,"In botanical studies, Radix Angelicae sinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00187,"Radix Codonopsis pilosulae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00188,"The herb Rhizoma Codonopsis pilosulae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00189,"The herb Semen Cavaliae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00190,"Taraxacum obovatum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00191,"Rhodiola atuntsuensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00193,"Medulla Junci is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00194,"Erigeron breviscapus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00195,"The herb Herba Hyperici Japonici is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00196,"The herb Cortex Illicii is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00197,"Fructus Kochiae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00198,"Cortex Lycii Radicis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00201,"In botanical studies, Herba Euphorbiae humifusae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00202,"Cynanchum thesioides is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00203,"Radix Sanguisorbae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00204,"Scutellaria amoena is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00205,"Onosma paniculatum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00206,"Caulis Erycibes is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00207,"The herb Flos Caryophylli is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00208,"Oplopanax elatus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00210,"Cordyceps is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00212,"In botanical studies, Semen Benincasae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00213,"Fructus Malvae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00214,"Rabdosia rubescens is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00217,"Fructus Amomi Rotundus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00219,"Radix Angelicae Pubescentis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00220,"The herb Lamiophlomis rotata is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00221,"Cortex Eucommiae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00223,"Coptis chinensis var. brevisepala is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00224,"Os Draconis Preparata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00225,"Concha Arcae Preparata is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00226,"In botanical studies, Herba Clinopodii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00227,"Corydalis ledebouriana is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00228,"Thalictrum ichangense is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00229,"Meconopsis horridula is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00230,"Aconitum karakolicum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00231,"Paeonia emodi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
