DrugID,Descriptions
D00065,Buspirone is an anxiolytic agent used for short-term treatment of generalized anxiety and second-line treatment of depression.
D00066,Busulfan is an alkylating agent used to treat chronic myelogenous leukemia.
D00067,Butabarbital is a barbiturate drug used as a sedative and hypnotic.
D00068,"Butalbital is a barbiturate drug used for symptomatic treatment of tension-type headache in various combinations with acetaminophen, aspirin, caffeine, and codeine."
D00069,"Caffeine is a stimulant present in tea, coffee, cola beverages, analgesic drugs, and agents used to increase alertness. It is also used in to prevent and treat pulmonary complications of premature birth."
D00070,"Verapamil is a non-dihydropyridine calcium channel blocker used in the treatment of angina, arrhythmia, and hypertension."
D00071,Camostat is a serine protease indicated in Japan to treat chronic pancreatitis.
D00073,Carbamazepine is an anticonvulsant used to treat various types of seizures and pain resulting from trigeminal neuralgia.
D00074,"Pentoxyverine is a medication used to suppress a cough in the common cold, flu, bronchitis, and sinusitis."
D00075,"Carbinoxamine is a first generation antihistamine used to treat allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis, allergic reactions, and mild allergic reactions."
D00076,Carisoprodol is a centrally acting muscle relaxant used to relieve the discomfort associated with various musculoskeletal conditions.
D00077,"Carmustine is an alkylating agent used in the treatment of various malignancies, including brain tumours and multiple myeloma, among others."
D00078,"Carvedilol is a non selective beta-adrenergic antagonist used to treat mild to severe chronic heart failure, hypertension, and left ventricular dysfunction following myocardial infarction in clinically stable patients."
D00079,"Celecoxib is an NSAID used to treat osteoarthritis, rheumatoid arthritis, acute pain, menstrual symptoms, and to reduce polyps is familial adenomatous polyposis."
D00080,Celiprolol is a beta-blocker for the management of hypertension and angina pectoris.
D00082,Chloral hydrate is a mild hypnotic used for experimental purposes that was previously used for the treatment of insomnia.
D00083,Chlorambucil is a chemotherapy agent used in the management of chronic lymphocytic leukemia and malignant lymphomas.
D00084,"Chlorcyclizine is a first generation phenylpiperazine class antihistamine used to treat urticaria, rhinitis, pruritus, and other allergy symptoms. Chlorcyclizine also has some local anesthetic, anticholinergic, and antiserotonergic properties, and can be used as an antiemetic."
D00085,"Chlordiazepoxide is a benzodiazepine used to treat the withdrawal symptoms of acute alcoholism, to treat preoperative anxiety, and to treat anxiety over a short term period."
D00086,Chlorpheniramine is a histamine-H1 receptor antagonist indicated for the management of symptoms associated with upper respiratory allergies.
D00087,"Chlorpromazine is a phenothiazine antipsychotic used to treat nausea, vomiting, preoperative anxiety, schizophrenia, bipolar disorder, and severe behavioral problems in children."
D00088,Chlorpropamide is a sulfonylurea used in the treatment of non insulin dependent diabetes mellitus.
D00090,Chlorzoxazone is a drug with muscle relaxant properties that is used as an adjunct to physical therapy and analgesics to treat stiffness and pain caused by a variety of musculoskeletal conditions.
D00091,Cilostazol is an antiplatelet agent and vasodilator used for the symptomatic relief of intermittent claudication.
D00092,"Cimetidine is a histamine H2 receptor antagonist used to manage GERD, peptic ulcer disease, and indigestion."
D00093,Ciprofloxacin is a second generation fluoroquinolone used to treat various susceptible bacterial infections.
D00094,Citalopram is a selective serotonin reuptake inhibitor (SSRI) used in the treatment of depression.
D00095,"Meclizine is a histamine H1 antagonist used to treat nausea, vomiting, and dizziness associated with motion sickness."
D00096,Clobazam is a benzodiazepine used as adjunct treatment in seizures associated with Lennox-Gastaut syndrome.
D00097,Clofazimine is a riminophenazine antimycobacterial used to treat leprosy.
D00098,Clofedanol is an antitussive used for the symptomatic relief of acute cough caused by minor throat and bronchial irritation.
D00099,Clofibrate is a fibric acid derivative used to treat hypertriglyceridemia and high cholesterol.
D00100,"Clomipramine is a tricyclic antidepressant used in the treatment of obsessive-compulsive disorder and disorders with an obsessive-compulsive component, such as depression, schizophrenia, and Tourette’s disorder."
D00101,"Clonazepam is a long-acting benzodiazepine with intermediate onset commonly used to treat panic disorders, severe anxiety, and seizures."
D00102,"Clonidine is an alpha-2 adrenergic agonist used to treat hypertension and severe cancer pain, among other conditions, and to treat withdrawal symptoms from various substances. It is also used to aid in the diagnosis of pheochromocytoma and to prevent migraines."
D00103,"Clorazepic acid is a benzodiazepine used to treat anxiety, partial seizures, and alcohol withdrawal."
D00104,"Cloxazolam is a benzodiazepine with anxiolytic, sedative/hypnotic, muscle relaxant, and antiepileptic effects."
D00105,"Cromoglicic acid is a medication used to treat asthma, allergic reactions of the eyes and nose, as well as other mast cell reactions."
D00106,"Cyclandelate is a vasodilator used for the treatment of various blood vessel diseases, such as claudication and arteriosclerosis."
D00107,Cyclobenzaprine is a skeletal muscle relaxant that works on the brainstem to treat muscle spasms of local origin.
D00108,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma."
D00109,"Cyproheptadine is a combined serotonin and histamine antagonist used in the treatment of allergic symptoms, for appetite stimulation, and off-label in the treatment of serotonin syndrome."
D00110,"Dapsone is a sulfone drug used to treat acne vulgaris, Hansen's disease, and dermatitis herpetiformis."
D00111,An adrenergic neuron-blocking drug similar in effects to guanethidine. It is also noteworthy in being a substrate for a polymorphic cytochrome P-450 enzyme. Persons with certain isoforms of this enzyme are unable to properly metabolize this and many other clinically important drugs. They are commonly referred to as having a debrisoquin 4-hydroxylase polymorphism.
D00113,Desipramine is a tricyclic antidepressant used in the treatment of depression.
D00115,"Diazepam is a long-acting benzodiazepine with rapid onset commonly used to treat panic disorders, severe anxiety, alcohol withdrawal, and seizures."
D00116,Diclofenac is an NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.
D00117,"Diclofenamide is a carbonic anhydrase inhibitor used for the management of open-angle and secondary glaucoma, as well as acute angle-closure glaucoma in delayed pre-operative setting requiring a reduction in intraocular pressure."
D00118,Dicyclomine is an antimuscarinic agent used to treat IBS.
D00119,Diethylcarbamazine is an anthelmintic used to treat filarial infections like Wuchereria bancrofti and Loa loa.
D00120,"Diflunisal is an NSAID used to treat mild to moderate pain, inflammation, osteoarthritis, and rheumatoid arthritis."
D00121,"Diphenhydramine is a H1 receptor antihistamine used in the treatment of seasonal allergies, and various allergic reactions including sneezing, runny nose, itchy/watery eyes, itching of nose or throat, pruritus, urticaria, insect bites/stings, and allergic rashes."
D00122,Dipyridamole is a phosphodiesterase inhibitor used to prevent postoperative thromboembolic events.
D00124,Disopyramide is a class 1A antiarrhythmic agent used to treat life-threatening ventricular arrhythmias.
D00125,Disulfiram is a carbamate derivative used to treat alcohol addiction.
D00126,Valproic acid is an anticonvulsant used to control complex partial seizures and both simple and complex absence seizures.
D00127,"Domperidone is a dopamine receptor antagonist used as a peristaltic stimulant and anti-emetic agent for dyspepsia, indigestion, epigastric pain, nausea, and vomiting."
D00128,Donepezil is an acetylcholinesterase inhibitor used to treat the behavioral and cognitive effects of Alzheimer's Disease and other types of dementia.
D00129,Doxazosin is an alpha-1 adrenergic receptor used to treat mild to moderate hypertension and urinary obstruction due to benign prostatic hyperplasia.
D00130,Doxylamine is an antihistamine used to treat insomnia and allergy symptoms and is used with pyridoxine in the treatment of nausea and vomiting in pregnancy.
D00131,Dyclonine is an topical anesthetic used prior to examination to suppress the gag reflex or for pain relief from canker sores and fever blisters.
D00132,Ebastine is a second generation H1-receptor antagonist useful in the treatment of allergic rhinitis and urticaria.
D00134,Estazolam is a benzodiazepine used for the short-term management of insomnia.
D00135,"Etacrynic acid is a diuretic used to treat ascites and edema in congestive heart failure, liver cirrhosis, and renal disease."
D00136,Ethosuximide is an anticonvulsant used to treat petit mal seizures.
D00137,Ethotoin is a hydantoin antiepileptic used to control tonic-clonic and complex partial seizures.
D00138,Etidronic acid is a bisphosphonate drug that prevents osteoclastic bone resorption; used for the prevention and treatment of osteoporosis.
D00139,"Etodolac is an NSAID used to treat osteoarthritis and rheumatoid arthritis, as well as acute pain."
D00141,Felbamate is an anticonvulsant used to treat severe epilepsy.
D00142,Felodipine is a calcium channel blocker used to treat hypertension.
D00143,"Fenfluramine is fenfluramine is a phenethylamine that is structurally similar to serotonin. Due to its ability to increase extracellular serotonin levels, modulate serotonergic and other neurologic receptors, and control neurotransmission, it is effective in treating pharmacoresistant seizures."
D00144,"Fenofibrate is a peroxisome proliferator receptor alpha activator used to lower LDL-C, total-C, triglycerides, and Apo B, while increasing HDL-C in hypercholesterolemia, dyslipidemia, and hypertriglyceridemia."
D00145,Fenoldopam is a dopamine D1 receptor agonist used for the short term management of hypertension.
D00146,Fenoprofen is an anti-inflammatory analgesic used to treat mild to moderate pain in addition to the signs and symptoms of rheumatoid arthritis and osteoarthritis.
D00148,"Fentanyl is an opioid analgesic used in anesthesia, for breakthrough cancer pain, or round the clock pain management."
D00149,Fexofenadine is a selective H1-antagonist for the symptomatic treatment of seasonal allergic rhinitis and chronic idiopathic urticaria.
D00152,Fleroxacin is a broad-spectrum antimicrobial fluoroquinolone. It strongly inhibits the DNA-supercoiling activity of DNA gyrase. Fleroxacin is not an inhibitor of CYP1A2.
D00153,Floctafenine is an anti-inflammatory analgesic used to manage mild to moderate acute pain.
D00155,"Fludiazepam is a drug which is a benzodiazepine derivative. It possesses anxiolytic, anticonvulsant, sedative and skeletal muscle relaxant properties."
D00156,Fluphenazine is a phenothiazine used to treat patients requiring long-term neuroleptic therapy.
D00157,"Flumazenil is a benzodiazepine antagonist that is used for the complete or partial reversal of the sedative effects caused by benzodiazepines in various clinical settings, such as induced general anesthesia for diagnostic and therapeutic procedures."
D00158,Flunitrazepam is a benzodiazepine used to manage anxiety disorders and insomnia.
D00159,"Fluorouracil is a pyrimidine analog used to treat basal cell carcinomas, and as an injection in palliative cancer treatment."
D00160,"Fluoxetine is a selective serotonin reuptake inhibitor used to treat major depressive disorder, bulimia, OCD, premenstrual dysphoric disorder, panic disorder, and bipolar I."
D00161,Flurazepam is a long-acting benzodiazepine with a rapid onset of action that is commonly used to treat insomnia.
D00162,Flurbiprofen is an NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.
D00163,Fluspirilene is an antipsychotic agent used in the treatment of schizophrenia.
D00165,Fomepizole is an inhibitor of alcohol dehydrogenase used as an antidote in confirmed or suspected methanol or ethylene glycol poisoning.
D00166,"Furosemide is a loop diuretic used to treat hypertension and edema in congestive heart failure, liver cirrhosis, renal disease, and hypertension."
D00167,"Gabapentin is an anticonvulsant medication used in the management of peripheral neuropathic pains, postherpetic neuralgia, and partial-onset seizures."
D00168,Gabexate is a protease inhibitor indicated in the treatment of acute pancreatitis.
D00170,Gliclazide is a sulfonylurea used to treat hyperglycemia in patients with type 2 diabetes mellitus.
D00171,Glimepiride is a sulfonylurea drug used to treat type 2 diabetes mellitus.
D00172,Glipizide is a sulfonylurea medication used in Type 2 Diabetes to sensitize pancreatic beta cells and stimulate insulin release.
D00173,Glutethimide is a hypnotic and sedative. Its use has been largely superseded by other drugs.
D00174,Glyburide is a sulfonylurea used in the treatment of non insulin dependent diabetes mellitus.
D00178,"Haloperidol is an antipsychotic agent used to treat schizophrenia and other psychoses, as well as symptoms of agitation, irritability, and delirium."
D00179,"Miltefosine is an antileishmanial agent used to treat leishmaniasis, a group of disease caused by parasites of the Leishmania type."
D00180,"Hydralazine is an antihypertensive agent used for the management of essential hypertension or severe hypertension associated with conditions requiring immediate action, heart failure, and pre-eclampsia or eclampsia ."
D00181,"Hydrochlorothiazide is a thiazide diuretic used to treat edema associated with a number of conditions, and hypertension."
D00182,Hydroflumethiazide is a thiazide diuretic used to treat hypertension as well as edema due to congestive heart failure and liver cirrhosis.
D00183,Hydroxychloroquine is an antimalarial medication used to treat uncomplicated cases of malaria and for chemoprophylaxis in specific regions. Also a disease modifying anti-rheumatic drug (DMARD) indicated for treatment of rheumatoid arthritis and lupus erythematosus.
D00184,"Hydroxyurea is an antimetabolite used to treat sickle cell anemia crisis, resistant chronic myeloid leukemia, and Locally advanced squamous cell carcinomas of the head and neck (excluding the lip)."
D00185,"Hydroxyzine is an antihistamine used to treat anxiety and tension associated with psychoneuroses, as well as allergic conditions such as pruritus and chronic urticaria."
D00187,"Ibuprofen is an NSAID and non-selective COX inhibitor used to treat mild-moderate pain, fever, and inflammation."
D00188,"Phenelzine is a monoamine oxidase inhibitor used to treat atypical, nonendogenous, or neurotic depression."
D00189,Lidocaine is a local anesthetic used in a wide variety of superficial and invasive procedures.
D00190,Idebenone is an analogue of ubiquinone used for the treatment of visual impairment in adolescent and adult patients with Leber’s Hereditary Optic Neuropathy (LHON).
D00191,"Ifosfamide is an alkylating and immunosuppressive agent used in chemotherapy for the treatment of cancers, including testicular cancer, ovarian cancer, cervical cancer, osteocarcinoma, bladder cancer, small cell lung cancer, and non-Hodgkin's lymphoma."
D00192,Imipramine is a tricyclic antidepressant indicated for the treatment of depression and to reduce childhood enuresis.
D00193,Indapamide is a thiazide diuretic used to treat hypertension as well as edema due to congestive heart failure.
D00194,Indomethacin is a nonsteroidal anti-inflammatory (NSAID) used for symptomatic management of chronic musculoskeletal pain conditions and to induce closure of a hemodynamically significant patent ductus arteriosus in premature infants.
D00195,"Diiodohydroxyquinoline, also known as uidoquinol and iodoquinol, is a quinoline derivative that can be used in the treatment of amoebiasis. The exact mechanism of action is unknown. Iodoquinol is not currently available in any FDA-approved products."
D00196,"Iothalamic acid is a diagnostic contrast agent used in various medical imaging procedures, such as angiography, arthrography, and computed tomographic scans."
D00197,"Ioxaglic acid is a tri-iodinated benzoate contrast agent used in various radiological procedures including angiography, phlebography, urography, computed tomography (CT), and hysterosalpingography."
D00199,Isocarboxazid is a monoamine oxidase inhibitor used to treat enduring and debilitating symptoms of depression following inadequate clinical response to other antidepressant drugs.
D00200,Isoniazid is an antibiotic used to treat mycobacterial infections; most commonly use in combination with other antimycobacterial agents for the treatment of active or latent tuberculosis.
D00201,Isradipine is a dihydropyridine calcium channel blocker used for the treatment of hypertension.
D00202,Ketamine is a rapid-acting general anesthetic and NMDA receptor antagonist used for induction of anesthesia diagnostic and surgical procedures typically in combination with a muscle relaxant.
D00203,"Ketoprofen is an NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, dysmenorrhea, mild to moderate muscle pain, postoperative pain, and postpartum pain."
D00204,"Ketorolac is an NSAID used to treat moderate to severe pain, rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, menstrual disorders, and headaches."
D00206,"Labetalol is an alpha and beta adrenergic antagonist used to treat hypertension, angina, and sympathetic overactivity syndrome."
D00207,Lamotrigine is a phenyltriazine antiepileptic used to treat some types of epilepsy and bipolar I disorder.
D00211,Loratadine is a second generation antihistamine used to manage the symptoms of allergic rhinitis.
D00212,"Lorazepam is a short-acting benzodiazepine commonly used to treat panic disorders, severe anxiety, and seizures."
D00213,"Losartan is an angiotensin receptor blocker used to treat hypertension and diabetic nephropathy, and is used to reduce the risk of stroke."
D00214,Loxapine is a antipsychotic used for the treatment of schizophrenia.
D00215,Loxoprofen is an NSAID used to treat pain and inflammation in musculoskeletal conditions.
D00216,Manidipine is a dihydropyridine calcium channel blocker used to treat hypertension.
D00217,"Maprotiline is a tetracyclic antidepressant used to treat depressive illness, major depressive disorder, bipolar disorder, and anxiety associated with depression."
D00218,Mazindol is a sympathomimetic used to treat obesity in combination with lifestyle modifications.
D00219,Edaravone is a free radical scavenger used to delay the progression of ALS.
D00220,Mebendazole is a benzimidazole anthelmintic used to treat helminth infections.
D00221,Mecamylamine is a nicotine antagonist used to treat moderate to severe essential hypertension and uncomplicated malignant hypertension.
D00222,"Meclofenamic acid is an NSAID used to treat mild to moderate pain, primary dysmenorrhea, heavy menstrual blood loss, rheumatoid arthritis, and osteoarthritis."
D00223,"Mefenamic acid is an NSAID used to treat mild to moderate pain for no more than a week, and primary dysmenorrhea."
D00224,Mefloquine is an antimalarial agent used in the prophylaxis and treatment of malaria caused by Plasmodium falciparum and Plasmodium vivax.
D00226,Meperidine is an opioid agonist with analgesic and sedative properties used to manage severe pain.
D00227,Meprobamate is an anxiolytic drug used for the short-term management of anxiety symptoms.
D00230,Metformin is a biguanide antihyperglycemic used in conjunction with diet and exercise for glycemic control in type 2 diabetes mellitus. It is also used off-label for insulin resistance in polycystic ovary syndrome (PCOS).
D00231,Methadone is an opioid analgesic indicated for management of severe pain that is not responsive to alternative treatments. Also used to aid in detoxification and maintenance treatment of opioid addiction.
D00232,Methazolamide is a carbonic anhydrase inhibitor used to treat open angle glaucoma and acute angle closure glaucoma.
D00233,"Methocarbamol is a CNS depressant indicated with rest, physical therapy and other treatments to control the discomfort associated with various acute musculoskeletal conditions."
D00234,Methoxsalen is a furocoumarin used to treat psoriasis and vitiligo.
D00235,"An inhalation anesthetic. Currently, methoxyflurane is rarely used for surgical, obstetric, or dental anesthesia."
D00236,Methylphenidate is a stimulant used in the management of Attention Deficit Hyperactivity Disorder (ADHD).
D00238,"Metoclopramide is an antiemetic agent and dopamine D2 antagonist used in the treatment of gastroesophageal reflux disease, prevention of nausea and vomiting, and to stimulate gastric emptying."
D00240,"Metoprolol is a beta-blocker used in the treatment of hypertension and angina, and used to reduce mortality due to myocardial infarction."
D00241,"Metronidazole is a nitroimidazole used to treat trichomoniasis, amebiasis, inflammatory lesions of rosacea, and bacterial infections, as well as prevent postoperative infections."
D00242,Metyrapone is a steroid 11-beta-monooxygenase inhibitor used to test hypothalamic-pituitary ACTH function.
D00243,Mexiletine is a class 1B antiarrhythmic agent used in the treatment of documented ventricular arrhythmias that warrant treatment.
D00245,"Midazolam is a short-acting benzodiazepine with rapid onset that is commonly used in seizures, anesthesia and anxiety disorders."
D00248,Mirtazapine is a tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.
D00250,Moclobemide is a monoamine oxidase inhibitor used in the treatment of major depressive disorder and bipolar disorder.
D00251,Demeclocycline is a tetracycline antibiotic used to treat a wide variety of susceptible bacterial infections.
D00252,Nabumetone is an NSAID used to treat osteoarthritis and rheumatoid arthritis.
D00253,Nafamostat is a synthetic serine protease inhibitor that is commonly formulated with hydrochloric acid due to its basic properties. It has been used in trials studying the prevention of Liver Transplantation and Postreperfusion Syndrome.
D00254,Nalidixic acid is a quinolone antibiotic used to treat urinary tract infections.
D00256,Nefazodone is an antidepressant used in the treatment of depression.
D00257,Nevirapine is a non-nucleoside reverse transcriptase inhibitor used as part of a management regimen for HIV-1 virus infection.
D00258,Nicardipine is a calcium channel blocker used for the short-term treatment of hypertension and chronic stable angina.
D00259,"Nifedipine is a dihydropyridine calcium channel blocker indicated for the management of several subtypes of angina pectoris, and hypertension."
D00260,Nilutamide is an antineoplastic hormone used to treat prostate cancer.
D00261,Nilvadipine is a calcium channel blocker used to manage arterial hypertension.
D00262,Nimodipine is a calcium channel blocker used to improve neurological outcomes in patients with subarachnoid hemorrhage due to a ruptured intracranial aneurysm.
D00263,Nisoldipine is a calcium channel blocker used as monotherapy or combined with other drugs for the treatment of hypertension.
D00264,"Nitrazepam is a long-acting benzodiazepine with intermediate onset commonly used to treat panic disorders, severe anxiety, insomnia, and seizures."
D00265,Nitrendipine is a dihydropyridine calcium channel blocker indicated in the treatment of arterial hypertension.
D00266,"Nitroglycerin is a nitrate vasodilator used to treat or prevent angina, heart failure, hypertension, and anal fissures."
D00267,Norfloxacin is a broad-spectrum fluoroquinolone antibiotic with variable activity against gram-positive and gram-negative bacteria. Typically reserved for the treatment of UTIs due to accumulation in the urine.
D00268,Nortriptyline is a tricyclic antidepressant used in the treatment of depression.
D00271,"Omeprazole is a proton pump inhibitor used to treat GERD associated conditions such as heartburn and gastric acid hypersecretion, and to promote healing of tissue damage and ulcers caused by gastric acid and H. pylori infection."
D00274,"Oteracil is a chemotherapy agent used in combination with tegafur, cisplatin and gimeracil to treat advanced gastric cancer."
D00276,Oxatomide is an antihistamine indicated in the treatment and prevention of allergic symptoms.
D00277,"Oxazepam is an intermediate-acting benzodiazepine with slow onset commonly used to treat panic disorders, severe anxiety, alcohol withdrawals, and insomnia."
D00278,"Oxprenolol is a non-selective beta-adrenergic antagonist used to treat hypertension, angina pectoris, arrhythmias, and anxiety."
D00279,"Oxybutynin is an antimuscarinic agent that reduces detrusor muscle activity, relaxing the bladder and preventing the urge to void."
D00280,Oxyphenbutazone is a nonsteroidal anti-inflammatory drug (NSAID) no longer commonly used for the symptomatic relief of musculoskeletal pain.
D00282,Guanfacine is an alpha-2A adrenergic receptor agonist used to treat ADHD.
D00283,"Pantoprazole is a proton pump inhibitor used to treat erosive esophagitis, gastric acid hypersecretion, and to promote healing of tissue damage caused by gastric acid."
D00284,Pargyline is a monoamine oxidase inhibitor with antihypertensive properties.
D00285,Pemoline is a central nervous system (CNS) stimulant that was previously used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy.
D00286,"Pentobarbital is a barbiturate drug used to induce sleep, cause sedation, and control certain types of seizures."
D00288,"Periciazine is a phenothiazine used with other medications to treat aggressiveness, impulsiveness, and hostility associated with psychiatric conditions such as schizophrenia."
D00289,Perphenazine is a phenothiazine used to treat schizophrenia as well as nausea and vomiting.
D00290,Phenacemide is used to control certain seizures in the treatment of epilepsy. This medicine acts on the central nervous system (CNS) to reduce the number and severity of seizures.
D00291,Phenacetin was withdrawn from the Canadian market in June 1973 due to concerns regarding nephropathy (damage to or disease of the kidney).
D00292,"Phenazopyridine is a local anesthetic used for the symptomatic relief of pain, burning, urgency, frequency, and general discomfort caused by lower urinary tract irritations that are a result of infection, trauma, surgery, endoscopic procedures, or the passage of equipment or catheters."
D00293,"An indandione that has been used as an anticoagulant. Phenindione has actions similar to warfarin, but it is now rarely employed because of its higher incidence of severe adverse effects."
D00294,"Phenobarbital is a long-lasting barbiturate and anticonvulsant used in the treatment of all types of seizures, except for absent seizures."
D00295,Phentermine is a sympathomimetic anorectic agent used as a short-term adjunct therapy that is included in a regimen of weight reduction in cases of exogenous obesity.
D00296,"Phenylbutyric acid is an agent indicated for the adjunctive therapy for the management of chronic urea cycle disorders due to deficiencies in specific enzymes, including the neonatal-onset deficiency and late-onset disease with a history of hyperammonemic encephalopathy."
